Schulname;Dienststellenschlüssel;school_type1;school_type2;school_type3;school_type4;school_type5;school_type6;Partner;Aktivitaet;Type_narrow;Type_broad
"Grundschule 4 Jahreszeiten " Deutzen""Grundschule 4 Jahreszeiten " Deutzen""rundschu"""rundschule 4 Jahreszeiten " Deutzen""Grundschule 4 Jahres""undschule 4 Jahreszeiten " Deu""ndsc";SN-4410171;Grundschule;;;;;;Polizeidirektion Grimma, Polizeiposten Borna;Keine Angabe;Polizei;Öffentliche Infrastruktur
Petrischule - Oberschule der Stadt Leipzig;SN-4431284;Mittelschule;;;;;;Polizei, Gericht;Keine Angabe;Polizei;Öffentliche Infrastruktur
2. Oberschule Kamenz;SN-4130738;Mittelschule;;;;;;Kreissportbund,;Keine Angabe;Sportverein;Gemeinnütziger Akteur
"50. Grundschule Dresden Gertrud Caspari """0. Grundschule Dr"""0. Grundschule Dresd";SN-4310157;Grundschule;;;;;;SG Klotzsche Tanz, Gymnastik;Geräteturnen , Tanz , Gymnastik;Sportverein;Gemeinnütziger Akteur
Andert-Oberschule Ebersbach;SN-4130977;Mittelschule;;;;;;Fortschritt Eibau, Sektion Gewichtheben;Keine Angabe;Sportverein;Gemeinnütziger Akteur
"Förderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr. Rainer Fetscher ", ""derzentrum "Prof. Dr. Rainer ""erzentrum "Prof. ""rzentr"""örderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr. Rainer Fetscher ", ""derzentrum "Prof.""rderzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ", Schule für Kö""rderzentrum "Prof. Dr.""derzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örderzentrum "Prof. Dr. Rainer Fetscher ",""erzentrum Prof. Dr. Rainer Fetscher ", Schule für Körperbehinderte""örder""rzentrum Prof. Dr. Rainer Fetscher """";SN-4320081;Schule für Körperbehinderte;;;;;;Sportgemeinschaft EUREHA, Rollstuhlhockey;Keine Angabe;Sportverein;Gemeinnütziger Akteur
Gebrüder-Grimm-Grundschule;SN-4210860;Grundschule;;;;;;TSV Einheit Süd, Sportensemble;Keine Angabe;Sportverein;Gemeinnütziger Akteur
"Grundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am Albertsch""ndschule "Am""ds"""rundschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Albertschacht " Frei""undschule "Am""undschule Am Albertschacht " Freital-Wurgwitz""rundschule "Am Alberts""ndschule Am Albertschacht " Freital-Wurgw""dschule Am Alb";SN-4311015;Grundschule;;;;;;SG Wurgwitz, Sektion Tischtennis;Keine Angabe;Sportverein;Gemeinnütziger Akteur
"Grundschule Ernst Beyer " Reinsdorf""rundschule "Ernst Beyer""undschule """"""rundschule Ernst Beyer " Reinsdorf""rundschule "Ern""undschule Ernst Beyer " Rei""ndsc";SN-4511358;Grundschule;;;;;;Tischtennis-, Fußballverein;Keine Angabe;Sportverein;Gemeinnütziger Akteur
"Grundschule J. W. v. Goethe """rundschule "J. W.""undsc"""rundschule J. W. v. Goethe ";SN-4210498;Grundschule;;;;;;TSV Olbernhau#Schwimmverein Olbernhau#,Erzgebirgsverein;;Sportverein;Gemeinnütziger Akteur
Grundschule am Weinberg Roßwein;SN-4213096;Grundschule;;;;;;Roßweiner Sportverein. Sektionen Fußball, Handball. Boxen;Keine Angabe;Sportverein;Gemeinnütziger Akteur
Grundschule am Weinberg Roßwein;SN-4213096;Grundschule;;;;;;Roßweiner Sportverein. Sektionen Fußball, Handball. Boxen;;Sportverein;Gemeinnütziger Akteur
Grundschule Berggießhübel;SN-4311502;Grundschule;;;;;;Sportverein Bahratal, Bad Gottleuba;Keine Angabe;Sportverein;Gemeinnütziger Akteur
Grundschule Callenberg;SN-4511986;Grundschule;;;;;;SG Callenberg, Sektion Fußball;"Durchführung GTA \Calli\" , Fußballtraining , Teilnahme an Wettkämpfen""urchführung GTA \"Calli\" , Fußballtraining , Teilna""rchführung GTA \"Calli\" , Fußball""chführung GTA \"C""h"""urchführung GTA \Calli\" , Fußballtraining , Teilnahme an Wettkämpfen""urchführung GTA \"Calli\" , Fußballtraining , Teilna""rchführung GTA \"Calli\" , Fußbal""rchführung GTA \Calli\" , Fußballtraining , Teilnahme an Wettkämpfen""urchführung GTA \"Calli\" , Fußballtraining , Teilna""rchführung""chführung GTA \Calli\" , Fußballtraining , Teilnahme an Wettkämpfen""urchführung GTA \"Calli\" , Fußballtrainin""hführung GTA \Calli\" , Fußballtraining , Teilnahme an Wettkämpfen""urchführung GTA \"Cal""führung GTA \Calli\" , Fußballtraining , Teilnahme an Wettkämpfen""u""ührung GTA \Calli\" , Fußballtraining , Teilnahm""hrung GTA \Calli\" , Fußballt""rung GTA \C";Sportverein;Gemeinnütziger Akteur
